sg nom,sg gen,sg part,sg ill,pl nom,pl gen,pl part,pl ill,pl ine,kommentaar
Soomi,Soomõ,Soomia,Soomõsõ,Soomõd,Soomijõ,Soomiit,Soomiisõ,Soomiiz,
soomõlain,soomõlaizõ,soomõlaissõ,soomõlaizõsõ,soomõlaizõd,soomõlaisijõ,soomõlaisiit,soomõlaisiisõ,soomõlaisiiz,
sopuin,sopuzõ,sopuissõ,sopuizõsõ,sopuizõd,sopuizijõ,sopuiziit,sopuiziisõ,sopuiziiz,
sorsõ,sorza,sorsa,sorsasõ,sorzõd,sorzijõ,sorziit,sorziisõ,sorziiz,
stooli,stooli,stoolia,stoolisõ,stoolid,stoolijõ,stooliit,stooliisõ,stooliiz,
sukkõ,suka,sukka,sukkasõ,sukad,sukkijõ,sukkiit,sukkiisõ,sukkiiz,
suku,sugu,sukkua,sukkusõ,sugud,sukujõ,sukuit,sukuisõ,sukuiz,
sukulain,sukulaizõ,sukulaissõ,sukulaizõsõ,sukulaizõd,sukulaisijõ,sukulaisiit,sukulaisiisõ,sukulaisiiz,
suma,suma,suma,sumasõ,sumad,sumojõ,sumoit,sumoisõ,sumoiz,
summõ,summa,summa,summasõ,summõd,summojõ,summoit,summoisõ,summoiz,
suppi,supi,suppia,suppisõ,supid,suppijõ,suppiit,suppiisõ,suppiiz,
surmõ,surma,surma,surmasõ,surmõd,surmojõ,surmoit,surmoisõ,surmoiz,
susi,suõ,suttõ,suõsõ,suõd,susijõ,susiit,susiisõ,susiiz,
suu,suu,suut,suhõsõ,suud,suijõ,suit,suisõ,suiz,
suukkuri,suukkuri,suukkuria,suukkurisõ,suukkurid,suukkurijõ,suukkuriit,suukkuriisõ,suukkuriiz,
suukkurliivõ,suukkurliiva,suukkurliiva,suukkurliiva,suukkurliivõd,suukkurliivojõ,suukkurliivoit,suukkurliivoisõ,suukkurliivoiz,
suuri,suurõ,suurtõ,suurõsõ,suurõd,suurijõ,suuriit,suuriisõ,suuriiz,
suuto,suuo,suutoa,suutosõ,suuod,suutojõ,suutoit,suutoisõ,suutoiz,
sveežõ,sveeža,sveeža,sveežasõ,sveežõd,sveežijõ,sveežiit,sveežiisõ,sveežiiz,
sõbrõ,sõbra,sõbra,sõbrasõ,sõbrõd,sõbrojõ,sõbroit,sõbroisõ,sõbroiz,
sõna,sõna,sõna,sõnasõ,sõnad,sõnojõ,sõnoit,sõnoisõ,sõnoiz,
sõpa,sõva,sõppa,sõppasõ,sõvad,sõpojõ,sõpoit,sõpoisõ,sõpoiz,
sõrmi,sõrmõ,sõrmia,sõrmõsõ,sõrmõd,sõrmijõ,sõrmiit,sõrmiisõ,sõrmiiz,
sõrmuz,sõrmusõ,sõrmussõ,sõrmussõ,sõrmusõd,sõrmussijõ,sõrmussiit,sõrmussiisõ,sõrmussiiz,
sõta,sõa,sõtta,sõttasõ,sõad,sõtojõ,sõtoit,sõtoisõ,sõtoiz,
sää,sää,säät,sähäse,sääd,säije,sääit,sääise,sääiz,
süčüzü,süčüzü,süčüzüä,süčüzüse,süčüzüd,süčüzije,süčüziit,süčüziise,süčüziiz,
süli,süle,sülte,sülese,süled,sülije,süliit,süliise,süliiz,
sünti,sünni,süntiä,süntise,sünnid,süntije,süntiit,süntiise,süntiiz,
süsi,süe,sütte,süttese,süed,süsije,süsiit,süsiise,süsiiz,
süsiin,süsize,süsiisse,süsizese,süsized,süsizije,süsiziit,süsiziise,süsiziiz,
süä,süä,süttä,süttäse,süäd,süttije,süttiit,süttiise,süttiiz,
süüčči,süüči,süüččiä,süüččise,süüčid,süüččije,süüččiit,süüččiise,süüččiiz,
škoulu,škoulu,škoulua,škoulusõ,škoulud,škoulujõ,škouluit,škouluisõ,škouluiz,
šlääppi,šlääpi,šlääppiä,šlääppise,šlääpid,šlääppije,šlääppiit,šlääppiise,šlääppiiz,
špeili,špeili,špeiliä,špeilise,špeilid,špeilije,špeiliit,špeiliise,špeiliiz,
štanad,štanojõ,štanoit,štanoisõ,štanad,štanojõ,štanoit,štanoisõ,štanoiz,
šuubõ,šuuba,šuuba,šuubasõ,šuubõd,šuubojõ,šuuboit,šuuboisõ,šuuboiz,
zanavesk,zanaveska,zanaveska,zanaveskasõ,zanaveskõd,zanaveskojõ,zanaveskoit,zanaveskoisõ,zanaveskoiz,
ženihõ,ženiha,ženiha,ženihasõ,ženihõd,ženihojõ,ženihoit,ženihoisõ,ženihoiz,
žiivõttõ,žiivõta,žiivõtta,žiivõttasõ,žiivõtõd,žiivõttojõ,žiivõttoit,žiivõttoisõ,žiivõttoiz,
žurnalist,žurnalista,žurnalista,žurnalistasõ,žurnalistõd,žurnalistojõ,žurnalistoit,žurnalistoisõ,žurnalistoiz,
taari,taari,taaria,taarisõ,taarid,taarijõ,taariit,taariisõ,taariiz,
taattõ,taata,taatta,taattasõ,taatõd,taattojõ,taattoit,taattoisõ,taattoiz,
tablittsõ,tablitsa,tablittsa,tablittsasõ,tablittsõd,tablittsojõ,tablittsoit,tablittsoisõ,tablittsoiz,
taičinõ,taičina,taičina,taičinasõ,taičinõd,taičinojõ,taičinoit,taičinoisõ,taičinoiz,
taimi,maime,taimia,taimõsõ,taimõd,taimijõ,taimiit,taimiisõ,taimiiz,
taivõz,taiva,taivassõ,taivasõ,taivad,taivajõ,taivait,taivaisõ,taivaiz,
talo,talo,taloa,talosõ,talod,talojõ,taloit,taloisõ,taloiz,
talvi,talvõ,talvia,talvõsõ,talvõd,talvijõ,talviit,talviisõ,talviiz,
talviin,talviizõ,talviissõ,talviižõsõ,talviizõd,talviisijõ,talviiziit,talviiziisõ,talviiziiz,
tammi,tammõ,tammia,tammõsõ,tammõd,tammijõ,tammiit,tammiisõ,tammiiz,
tara,tara,tara,tarasõ,tarad,tarojõ,taroit,taroisõ,taroiz,
tarelk,tarelka,tarelka,tarelkasõ,tarelkõd,tarelkojõ,tarelkoit,tarelkoisõ,tarelkoiz,
tarkkõ,tarka,tarkka,tarkkasõ,tarkõd,tarkkojõ,tarkkoit,tarkkoisõ,tarkkoiz,
tarkuz,tarkusõ,tarkussõ,tarkussõsõ,tarkusõd,tarkussijõ,tarkussiit,tarkussiisõ,tarkussiiz,
Tarttu,Tartu,Tarttua,Tarttusõ,Tartud,Tarttujõ,Tarttuit,Tarttuisõ,Tarttuiz,
tarttulain,tarttulaizõ,tarttulaissõ,tarttulaizõsõ,tarttulaizõd,tarttulaisijõ,tarttulaisiit,tarttulaisiisõ,tarttulaisiiz,
tauti,taudi,tautia,tautisõ,taudid,tautijõ,tautiit,tautiisõ,tautiiz,
tauti,tavvõ,tautia,tautisõ,tavvõd,tautijõ,tautiit,tautiisõ,tautiiz,
